pid,caridischo_genre,label,claimed_genre,link,open_access,status,language,creators,stewards,blurb,added_by,added_year,notes,order,layout,collection,thumbnail,full
cds129,Maps & Visualizations,Ramble Bahamas,a tour,http://ramblebahamas.org,TRUE,Active,en,"Tracey Thompson, Jessica Dawson",The Oral & Public History Institute of the University of The Bahamas,"“From Dat Time”: The Oral & Public History Institute of the University of The Bahamas invites you to explore Ramble Bahamas.  The site can be explored by browsing individual stories, browsing Rambles, or through interacting with the map. Each place-based story includes a narrative which centers on an historically significant site or object. ",Kaiama L. Glover,2020,,033,caridischo_item,caridischo,img/derivatives/simple/cds129/thumbnail.jpg,img/derivatives/simple/cds129/fullwidth.jpg
cds124,Collections & Curations,Mapping Haitian History,a historical visual records project,http://www.mappinghaitianhistory.com/,TRUE,Active,"en, fr, ht",Stephanie Curci,Stephanie Curci,"A trilingual Haitian historical records site. Visual preservation of Haïtian historical, natural, and cultural sites. Offering a visual road map to some of Haiti's best features--for research and more. Where possible, links are provided to external documentation (such as ISPAN).",Stephanie Curci,2020,,028,caridischo_item,caridischo,"",""
cds118,Maps & Visualizations,Mapping Slavery,maps,https://mappingslavery.nl/en/,TRUE,Stable,"en, nl, id",,,Mapping Slavery NL portrays historical places relating to slavery on the map of the Dutch colonial empire.,,2020,,021,caridischo_item,caridischo,"",""
cds22,Cabinet of Wonders,Caribbean Literary Heritage,a project,https://www.caribbeanliteraryheritage.com/,TRUE,Active,en,Project team led by Alison Donnell,,"Caribbean Literary Heritage is a project funded by the Leverhulme Trust that promotes literary and archival preservation in the Caribbean and the diaspora, as well as bridging connections between the literary past and present with an interest in exploring the new challenges and possibilities of born digital initiatives.",Nadine Zubair,2020,,085,caridischo_item,caridischo,"",""
cds36,Reference,Caribbean Religious Trials,website,https://www.caribbeanreligioustrials.org/,TRUE,In Development,en,Diana Paton et al.,University of Edinburgh,This website presents information about selected trials for religious crimes held in the Caribbean between the 1760s and the 1980s.,Roopika Risam,2020,,099,caridischo_item,caridischo,"",""
cds37,Publications & Blogs,Caribbean Review of Gender Studies,academic journal,https://sta.uwi.edu/crgs/,TRUE,Active,en,Institute for Gender and Development Studies,UWI St. Augustine,"
The Caribbean Review of Gender Studies stimulates cross-cultural exchanges among Caribbean peoples within the region, those in the Caribbean Diaspora, as well as those who bring a comparative perspective to bear on Caribbean gender and feminist concerns. The journal is established around an identity and voice emanating from Caribbean realities of power in gender, sexualities, ethnicity and class relations, and their effects. The journal welcomes critical disciplinary or multi-disciplinary scholarly articles and creative contributions that broaden networks and enhance the global understanding and reach of Caribbean feminist theory and praxis.
",Alex Gil,2020,,100,caridischo_item,caridischo,"",""
cds119,Publications & Blogs,sx salon,a journal,http://smallaxe.net/sxsalon,TRUE,Active,en,Kelly Baker Josephs,Small Axe,"Our digital forum for innovative critical and creative explorations of Caribbean literature, broadly defined. Caribbean creative writing has always wrestled with the idea of an aesthetic form that engages regional and diasporic understandings of our changing realities. As a forum, sx salon aims to stimulate these sensibilities and preoccupations across different literary genres. Initiated in 2010, sx salon appears three times per year (February, June, and October). We publish literary discussions, interviews with writers, reviews of new publications (creative and scholarly), and poetry and prose by Caribbean writers.",Alex Gil,2020,,022,caridischo_item,caridischo,"",""
cds125,Collections & Curations,"RSHHGG Lab: Online Index and Lab for the Revue de la Société Haïtienne d’Histoire, de Géographie et de Géologie",a collection,http://rshhgglab.com/,FALSE,Stable,"en, fr, ht",,,"Online Index and Lab for the Revue de la Société Haïtienne d’Histoire, de Géographie et de Géologie.",,2020,,029,caridischo_item,caridischo,"",""
cds131,Publications & Blogs,Repeating Islands,a blog,https://repeatingislands.com/,TRUE,Active,en,"Ivette Romero-Cesareo, Lisa Paravisini-Gebert",,"News and commentary on Caribbean culture, literature, and the arts",Roopika Risam,2020,,036,caridischo_item,caridischo,"",""
cds127,Maps & Visualizations,Slave Revolt in Jamaica,maps,http://revolt.axismaps.com,TRUE,Active,en,Vincent Brown,,"This animated thematic map narrates the spatial history of the greatest slave insurrection in the eighteenth century British Empire. To teachers and researchers, the presentation offers a carefully curated archive of key documentary evidence.  To all viewers, the map suggests an argument about the strategies of the rebels and the tactics of counterinsurgency, about the importance of the landscape to the course of the uprising, and about the difficulty of representing such events cartographically with available sources.",Kaiama L. Glover,2020,,031,caridischo_item,caridischo,"",""
cds133,Collections & Curations,The Barbados Mercury and Bridgetown Gazette,public workshops,https://barbadosmercury.wordpress.com/the-barbados-mercury-and-bridgetown-gazette/,TRUE,Active,en,Amalia S. Levi,The HeritEdge Collection,The Barbados Mercury and Bridgetown Gazette ​was ​printed​ ​bi-weekly​ ​in​ ​Barbados. The Department of​ ​Archives holds ​the​ ​most​ ​complete​ ​set​ ​of​ ​volumes​ ​of​ ​​The Gazette (20 volumes covering 28 years between 1783-1848).,Roopika Risam,2020,,038,caridischo_item,caridischo,"",""
cds35,Collections & Curations,Carmelita Tropicana Online Digital Archive,digital archive,http://tropicanavideoarchive.blogspot.com/,TRUE,In Disrepair,en,Laura Lomas et al. ,,An online video archive of performances by Carmelita Tropicana,Roopika Risam,2020,,098,caridischo_item,caridischo,"",""
